Rank,Date,Link,Title,Labels,subjectivity_label,subjectivity_text,entities,Is_Money
56,15/01/2011,https://www.dailymail.co.uk/sport/article-1347366/Des-Kelly-Spurs-vandals-musnt-wreck-Olympic-legacy.html,Des Kelly: Spurs vandals musn't wreck Olympic legacy,Negative,objective,objective: Des Kelly: Spurs vandals musn't wreck Olympic legacy,"[{""text"": ""Des Kelly"", ""type"": ""PERSON"", ""start"": 0, ""end"": 9, ""cms"": null}, {""text"": ""Spurs"", ""type"": ""ORG"", ""start"": 11, ""end"": 16, ""cms"": null}, {""text"": ""Olympic"", ""type"": ""EVENT"", ""start"": 38, ""end"": 45, ""cms"": null}]",O
112,16/01/2011,https://www.dailymail.co.uk/sport/football/article-1347541/Tottenham-West-Ham-fight-2012-venue--Olympic-stadium-end-foreign-hands.html,Tottenham and West Ham fight for the 2012 venue... will the Olympic stadium end up in foreign hands?,Negative,objective,objective: Tottenham and West Ham fight for the 2012 venue. will the Olympic stadium end up in foreign hands?,"[{""text"": ""Tottenham"", ""type"": ""ORG"", ""start"": 0, ""end"": 9, ""cms"": null}, {""text"": ""West Ham"", ""type"": ""ORG"", ""start"": 14, ""end"": 22, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 37, ""end"": 41, ""cms"": null}]",O
82,16/01/2011,https://www.dailymail.co.uk/sport/football/article-1347662/Spurs-fans-protest-Olympic-Stadium-advisor-voices-white-elephant-fears.html,Spurs fans protest over Olympic Stadium move but advisor voices 'white elephant' fears,Negative,objective,objective: Spurs fans protest over Olympic Stadium move but advisor voices 'white elephant' fears,"[{""text"": ""Spurs"", ""type"": ""ORG"", ""start"": 0, ""end"": 5, ""cms"": null}, {""text"": ""Olympic Stadium"", ""type"": ""FAC"", ""start"": 24, ""end"": 39, ""cms"": null}]",O
84,21/01/2011,https://www.dailymail.co.uk/sport/football/article-1349163/West-Hams-plans-Olympic-Stadium-turn-graveyard-says-Harry-Redknapp.html,West Ham's plans for Olympic Stadium would turn it into graveyard says Harry Redknapp,Negative,objective,objective: West Ham's plans for Olympic Stadium would turn it into graveyard says Harry Redknapp,"[{""text"": ""West Ham's"", ""type"": ""ORG"", ""start"": 0, ""end"": 10, ""cms"": null}, {""text"": ""Olympic Stadium"", ""type"": ""FAC"", ""start"": 21, ""end"": 36, ""cms"": null}, {""text"": ""Harry Redknapp"", ""type"": ""PERSON"", ""start"": 71, ""end"": 85, ""cms"": null}]",O
141,21/01/2011,https://www.dailymail.co.uk/sport/olympics/article-1349289/Tessa-Sanderson-warns-Olympic-Stadium-chiefs-Ill-legal-action-unless-let-vote-West-Ham-Spurs.html,Tessa Sanderson warns Olympic Stadium chiefs: I'll take legal action unless you let me vote for West Ham or Spurs,Negative,objective,objective: Tessa Sanderson warns Olympic Stadium chiefs: I'll take legal action unless you let me vote for West Ham or Spurs,"[{""text"": ""Tessa Sanderson"", ""type"": ""PERSON"", ""start"": 0, ""end"": 15, ""cms"": null}, {""text"": ""Olympic Stadium"", ""type"": ""FAC"", ""start"": 22, ""end"": 37, ""cms"": null}, {""text"": ""West Ham"", ""type"": ""ORG"", ""start"": 96, ""end"": 104, ""cms"": null}, {""text"": ""Spurs"", ""type"": ""ORG"", ""start"": 108, ""end"": 113, ""cms"": null}]",O
50,22/01/2011,https://www.dailymail.co.uk/sport/article-1349472/Charles-Sale-2012-Olympic-Stadium-legacy-expert-left-years-ago.html,Charles Sale: 2012 Olympic Stadium legacy expert left two years ago,Neutral,objective,objective: Charles Sale: 2012 Olympic Stadium legacy expert left two years ago,"[{""text"": ""Charles Sale"", ""type"": ""PERSON"", ""start"": 0, ""end"": 12, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 14, ""end"": 18, ""cms"": null}, {""text"": ""Olympic Stadium"", ""type"": ""FAC"", ""start"": 19, ""end"": 34, ""cms"": null}, {""text"": ""two years ago"", ""type"": ""DATE"", ""start"": 54, ""end"": 67, ""cms"": null}]",O
39,5/2/2011,https://www.dailymail.co.uk/sport/olympics/article-1354071/Tottenhams-hopes-securing-Londons-Olympic-Stadium-2012-rise-research-exposes-legacy-myth.html,Tottenham's hopes of securing London's Olympic Stadium in 2012 rise as research exposes legacy myth,Negative,objective,objective: Tottenham's hopes of securing London's Olympic Stadium in 2012 rise as research exposes legacy myth,"[{""text"": ""Tottenham"", ""type"": ""GPE"", ""start"": 0, ""end"": 9, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 30, ""end"": 36, ""cms"": null}, {""text"": ""Olympic Stadium"", ""type"": ""FAC"", ""start"": 39, ""end"": 54, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 58, ""end"": 62, ""cms"": null}]",O
51,7/2/2011,https://www.dailymail.co.uk/sport/olympics/article-1354518/West-Ham-chief-Karren-Brady-blasts-Spurs-It-corporate-crime-knock-Olympic-stadium.html,West Ham chief Karren Brady blasts Spurs: It would be a 'corporate crime' to knock down Olympic stadium,Negative,objective,objective: West Ham chief Karren Brady blasts Spurs: It would be a 'corporate crime' to knock down Olympic stadium,"[{""text"": ""West Ham"", ""type"": ""ORG"", ""start"": 0, ""end"": 8, ""cms"": null}, {""text"": ""Karren Brady"", ""type"": ""PERSON"", ""start"": 15, ""end"": 27, ""cms"": null}, {""text"": ""Spurs"", ""type"": ""ORG"", ""start"": 35, ""end"": 40, ""cms"": null}]",O
66,7/2/2011,https://www.dailymail.co.uk/sport/football/article-1354645/Karren-Brady-scaremongering-Tottenham-chairman-Daniel-Levy-hits-Olympic-Stadium-crime-slur.html,"Karren Brady is scaremongering, Tottenham chairman Daniel Levy hits back over Olympic Stadium 'crime' slur",Negative,objective,"objective: Karren Brady is scaremongering, Tottenham chairman Daniel Levy hits back over Olympic Stadium 'crime' slur","[{""text"": ""Karren Brady"", ""type"": ""PERSON"", ""start"": 0, ""end"": 12, ""cms"": null}, {""text"": ""Tottenham"", ""type"": ""ORG"", ""start"": 32, ""end"": 41, ""cms"": null}, {""text"": ""Daniel Levy"", ""type"": ""PERSON"", ""start"": 51, ""end"": 62, ""cms"": null}, {""text"": ""Olympic Stadium"", ""type"": ""FAC"", ""start"": 78, ""end"": 93, ""cms"": null}]",O
145,8/2/2011,https://www.dailymail.co.uk/sport/olympics/article-1354790/Spurs-win-Olympic-Stadium-bid-says-key-London-2012-figure-Mike-Lee.html,"Spurs must win Olympic Stadium bid, says key London 2012 figure Mike Lee",Positive,objective,"objective: Spurs must win Olympic Stadium bid, says key London 2012 figure Mike Lee","[{""text"": ""Spurs"", ""type"": ""ORG"", ""start"": 0, ""end"": 5, ""cms"": null}, {""text"": ""Olympic Stadium"", ""type"": ""FAC"", ""start"": 15, ""end"": 30, ""cms"": null}, {""text"": ""London 2012"", ""type"": ""EVENT"", ""start"": 45, ""end"": 56, ""cms"": null}, {""text"": ""Mike Lee"", ""type"": ""PERSON"", ""start"": 64, ""end"": 72, ""cms"": null}]",O
130,9/2/2011,https://www.dailymail.co.uk/sport/football/article-1355232/David-Sullivan-slams-Spurs-Olympic-Stadium-battle.html,David Sullivan slams Spurs in Olympic Stadium battle,Neutral,objective,objective: David Sullivan slams Spurs in Olympic Stadium battle,"[{""text"": ""David Sullivan"", ""type"": ""PERSON"", ""start"": 0, ""end"": 14, ""cms"": null}, {""text"": ""Spurs"", ""type"": ""ORG"", ""start"": 21, ""end"": 26, ""cms"": null}, {""text"": ""Olympic Stadium"", ""type"": ""FAC"", ""start"": 30, ""end"": 45, ""cms"": null}]",O
6,12/2/2011,https://www.dailymail.co.uk/sport/football/article-1356435/Will-London-Olympic-2012-legacy-development-Starford-just-load-white-elephants.html,Will London have an Olympic 2012 legacy or is the development at Starford just another load of white elephants?,Neutral,objective,objective: Will London have an Olympic 2012 legacy or is the development at Starford just another load of white elephants?,"[{""text"": ""London"", ""type"": ""GPE"", ""start"": 5, ""end"": 11, ""cms"": null}, {""text"": ""Olympic 2012"", ""type"": ""EVENT"", ""start"": 20, ""end"": 32, ""cms"": null}, {""text"": ""Starford"", ""type"": ""GPE"", ""start"": 65, ""end"": 73, ""cms"": null}]",O
233,12/2/2011,https://www.dailymail.co.uk/sport/football/article-1356406/Kenny-Dalglish-Can-Jack-Wilshere-make-mark-real-giants-football.html,Kenny Dalglish: Can Jack Wilshere make his mark against the real giants of football?,Neutral,objective,objective: Kenny Dalglish: Can Jack Wilshere make his mark against the real giants of football?,"[{""text"": ""Kenny Dalglish"", ""type"": ""PERSON"", ""start"": 0, ""end"": 14, ""cms"": null}, {""text"": ""Jack Wilshere"", ""type"": ""PERSON"", ""start"": 20, ""end"": 33, ""cms"": null}]",O
119,12/2/2011,https://www.dailymail.co.uk/sport/football/article-1356428/West-Ham-face-Olympic-Stadium-fight-moving-Orients-patch.html,West Ham to face Olympic Stadium fight over moving into Orient's patch,Negative,objective,objective: West Ham to face Olympic Stadium fight over moving into Orient's patch,"[{""text"": ""West Ham"", ""type"": ""ORG"", ""start"": 0, ""end"": 8, ""cms"": null}, {""text"": ""Olympic Stadium"", ""type"": ""FAC"", ""start"": 17, ""end"": 32, ""cms"": null}, {""text"": ""Orient"", ""type"": ""ORG"", ""start"": 56, ""end"": 62, ""cms"": null}]",O
41,5/7/2011,https://www.dailymail.co.uk/sport/olympics/article-2011499/London-2012-Olympics-OPLC-launch-internal-probe-West-Ham-link.html,London 2012 Olympics: OPLC launch internal probe after West Ham link,Neutral,objective,objective: London 2012 Olympics: OPLC launch internal probe after West Ham link,"[{""text"": ""London 2012 Olympics"", ""type"": ""EVENT"", ""start"": 0, ""end"": 20, ""cms"": null}, {""text"": ""OPLC"", ""type"": ""ORG"", ""start"": 22, ""end"": 26, ""cms"": null}, {""text"": ""West Ham"", ""type"": ""GPE"", ""start"": 55, ""end"": 63, ""cms"": null}]",O
177,25/07/2011,https://www.dailymail.co.uk/debate/article-2018416/Cultural-Olympiad-2011-An-orgy-politically-correct-expensive-nonsense.html,Cultural Olympiad 2011: An orgy of politically correct and expensive nonsense,Negative,subjective,subjective: Cultural Olympiad 2011: An orgy of politically correct and expensive nonsense,"[{""text"": ""Cultural Olympiad"", ""type"": ""EVENT"", ""start"": 0, ""end"": 17, ""cms"": null}]",O
9,3/10/2011,https://www.dailymail.co.uk/news/article-2044555/London-2012-Foreign-Office-hands-Olympic-Legacy-cash-Bolivia.html,London 2012: Foreign Office hands 'Olympic Legacy' cash to Bolivia,Neutral,objective,objective: London 2012: Foreign Office hands 'Olympic Legacy' cash to Bolivia,"[{""text"": ""London"", ""type"": ""GPE"", ""start"": 0, ""end"": 6, ""cms"": null}, {""text"": ""Foreign Office"", ""type"": ""ORG"", ""start"": 13, ""end"": 27, ""cms"": null}, {""text"": ""Olympic Legacy"", ""type"": ""WORK_OF_ART"", ""start"": 35, ""end"": 49, ""cms"": null}, {""text"": ""Bolivia"", ""type"": ""GPE"", ""start"": 59, ""end"": 66, ""cms"": null}]",O
133,11/10/2011,https://www.dailymail.co.uk/sport/football/article-2048044/Taxpayers-0-West-Ham-1-Club-paying-20million.html,Taxpayers 0 West Ham 1: Club could still move without paying £20million,Neutral,subjective,subjective: Taxpayers 0 West Ham 1: Club could still move without paying £20million,"[{""text"": ""1"", ""type"": ""CARDINAL"", ""start"": 21, ""end"": 22, ""cms"": null}, {""text"": ""20million"", ""type"": ""MONEY"", ""start"": 62, ""end"": 71, ""cms"": null}]",Money
92,11/10/2011,https://www.dailymail.co.uk/sport/football/article-2047725/Spurs-force-West-Ham-Olympic-Stadium-deal-collapse.html,Spurs force West Ham Olympic Stadium deal collapse,Negative,objective,objective: Spurs force West Ham Olympic Stadium deal collapse,"[{""text"": ""West Ham Olympic Stadium"", ""type"": ""FAC"", ""start"": 12, ""end"": 36, ""cms"": null}]",O
79,11/10/2011,https://www.dailymail.co.uk/news/article-2047726/London-2012-Olympics-West-Ham-deal-stadium-collapses.html,London 2012 Olympics: West Ham deal to take over stadium collapses,Negative,objective,objective: London 2012 Olympics: West Ham deal to take over stadium collapses,"[{""text"": ""London 2012 Olympics"", ""type"": ""EVENT"", ""start"": 0, ""end"": 20, ""cms"": null}, {""text"": ""West Ham"", ""type"": ""ORG"", ""start"": 22, ""end"": 30, ""cms"": null}]",O
63,19/10/2011,https://www.dailymail.co.uk/sport/othersports/article-2050977/London-2012-Olympics-Sebastian-Coe-rejects-Olympic-Stadium-white-elephant-tag.html,London 2012 Olympics: Sebastian Coe rejects Olympic Stadium 'white elephant' tag,Negative,objective,objective: London 2012 Olympics: Sebastian Coe rejects Olympic Stadium 'white elephant' tag,"[{""text"": ""London 2012 Olympics"", ""type"": ""EVENT"", ""start"": 0, ""end"": 20, ""cms"": null}, {""text"": ""Sebastian Coe"", ""type"": ""PERSON"", ""start"": 22, ""end"": 35, ""cms"": null}, {""text"": ""Olympic Stadium"", ""type"": ""FAC"", ""start"": 44, ""end"": 59, ""cms"": null}]",O
192,19/10/2011,https://www.dailymail.co.uk/sport/article-2050639/Martin-Samuel-Dan-Wheldon--safety-sport-killer.html,"Martin Samuel: Dan Wheldon - safety first, or sport becomes a killer",Negative,objective,"objective: Martin Samuel: Dan Wheldon - safety first, or sport becomes a killer","[{""text"": ""Martin Samuel"", ""type"": ""PERSON"", ""start"": 0, ""end"": 13, ""cms"": null}, {""text"": ""Dan Wheldon"", ""type"": ""PERSON"", ""start"": 15, ""end"": 26, ""cms"": null}, {""text"": ""first"", ""type"": ""ORDINAL"", ""start"": 36, ""end"": 41, ""cms"": null}]",O
46,21/10/2011,https://www.dailymail.co.uk/news/article-2051906/Ikea-unveils-plans-26-acre-London-district-near-Olympic-Park.html,Ikea unveils plans for 26-acre London district near Olympic Park,Positive,objective,objective: Ikea unveils plans for 26-acre London district near Olympic Park,"[{""text"": ""Ikea"", ""type"": ""ORG"", ""start"": 0, ""end"": 4, ""cms"": null}, {""text"": ""26-acre"", ""type"": ""QUANTITY"", ""start"": 23, ""end"": 30, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 31, ""end"": 37, ""cms"": null}, {""text"": ""Olympic Park"", ""type"": ""FAC"", ""start"": 52, ""end"": 64, ""cms"": null}]",O
54,6/11/2011,https://www.dailymail.co.uk/sport/othersports/article-2058189/London-win-2017-World-Championships-says-Ed-Warner.html,London can win 2017 World Championships says Ed Warner,Positive,objective,objective: London can win 2017 World Championships says Ed Warner,"[{""text"": ""London"", ""type"": ""GPE"", ""start"": 0, ""end"": 6, ""cms"": null}, {""text"": ""2017"", ""type"": ""DATE"", ""start"": 15, ""end"": 19, ""cms"": null}, {""text"": ""World Championships"", ""type"": ""EVENT"", ""start"": 20, ""end"": 39, ""cms"": null}, {""text"": ""Ed Warner"", ""type"": ""PERSON"", ""start"": 45, ""end"": 54, ""cms"": null}]",O
60,6/12/2011,https://www.dailymail.co.uk/debate/article-2070846/London-2012-Olympics-costs-unacceptable-teeter-edge-slump.html,London 2012 Olympics costs are unacceptable as we teeter on the edge of a slump,Negative,subjective,subjective: London 2012 Olympics costs are unacceptable as we teeter on the edge of a slump,"[{""text"": ""London 2012 Olympics"", ""type"": ""EVENT"", ""start"": 0, ""end"": 20, ""cms"": null}]",O
271,12/12/2011,https://www.dailymail.co.uk/sport/article-2072910/Manchester-United-make-sure-UEFA-right-Martin-Samuel.html,Manchester United will make sure UEFA see them right: Martin Samuel,Neutral,objective,objective: Manchester United will make sure UEFA see them right: Martin Samuel,"[{""text"": ""Manchester United"", ""type"": ""ORG"", ""start"": 0, ""end"": 17, ""cms"": null}, {""text"": ""UEFA"", ""type"": ""ORG"", ""start"": 33, ""end"": 37, ""cms"": null}, {""text"": ""Martin Samuel"", ""type"": ""PERSON"", ""start"": 54, ""end"": 67, ""cms"": null}]",O
17,9/1/2012,https://www.dailymail.co.uk/sport/olympics/article-2084150/London-2012-Olympics-Legacy-secure-says-David-Cameron.html,"London 2012 Olympics: Legacy is secure, says David Cameron",Positive,objective,"objective: London 2012 Olympics: Legacy is secure, says David Cameron","[{""text"": ""London 2012 Olympics"", ""type"": ""EVENT"", ""start"": 0, ""end"": 20, ""cms"": null}, {""text"": ""David Cameron"", ""type"": ""PERSON"", ""start"": 45, ""end"": 58, ""cms"": null}]",O
36,18/01/2012,https://www.dailymail.co.uk/sport/olympics/article-2088290/London-2012-Olympics-Fourth-man-arrested-stadium-spy-probe.html,London 2012 Olympics: Fourth man arrested in stadium spy probe,Negative,objective,objective: London 2012 Olympics: Fourth man arrested in stadium spy probe,"[{""text"": ""London 2012 Olympics"", ""type"": ""EVENT"", ""start"": 0, ""end"": 20, ""cms"": null}, {""text"": ""Fourth"", ""type"": ""ORDINAL"", ""start"": 22, ""end"": 28, ""cms"": null}]",O
78,9/3/2012,https://www.dailymail.co.uk/news/article-2112428/London-2012-Olympics-2bn-red-main-stadium-white-elephant.html,London 2012 Olympics may go £2bn into the red and main stadium could become a white elephant,Negative,objective,objective: London 2012 Olympics may go £2bn into the red and main stadium could become a white elephant,"[{""text"": ""London 2012"", ""type"": ""EVENT"", ""start"": 0, ""end"": 11, ""cms"": null}, {""text"": ""\u00a32bn into the"", ""type"": ""MONEY"", ""start"": 28, ""end"": 41, ""cms"": null}]",Money
72,9/3/2012,https://www.dailymail.co.uk/money/news/article-2112505/amp/Olympics-budget-Games-2bn-red.html,Olympics budget: Games could go £2bn into the red,Negative,subjective,subjective: Olympics budget: Games could go £2bn into the red,"[{""text"": ""Olympics"", ""type"": ""EVENT"", ""start"": 0, ""end"": 8, ""cms"": null}, {""text"": ""\u00a32bn into the"", ""type"": ""MONEY"", ""start"": 32, ""end"": 45, ""cms"": null}]",Money
