Rank,Date,Link,Title,Labels,subjectivity_label,subjectivity_text
112,16/01/2011,https://www.dailymail.co.uk/sport/football/article-1347541/Tottenham-West-Ham-fight-2012-venue--Olympic-stadium-end-foreign-hands.html,Tottenham and West Ham fight for the 2012 venue... will the Olympic stadium end up in foreign hands?,Negative,objective,objective: Tottenham and West Ham fight for the 2012 venue. will the Olympic stadium end up in foreign hands?
82,16/01/2011,https://www.dailymail.co.uk/sport/football/article-1347662/Spurs-fans-protest-Olympic-Stadium-advisor-voices-white-elephant-fears.html,Spurs fans protest over Olympic Stadium move but advisor voices 'white elephant' fears,Negative,objective,objective: Spurs fans protest over Olympic Stadium move but advisor voices 'white elephant' fears
84,21/01/2011,https://www.dailymail.co.uk/sport/football/article-1349163/West-Hams-plans-Olympic-Stadium-turn-graveyard-says-Harry-Redknapp.html,West Ham's plans for Olympic Stadium would turn it into graveyard says Harry Redknapp,Negative,objective,objective: West Ham's plans for Olympic Stadium would turn it into graveyard says Harry Redknapp
141,21/01/2011,https://www.dailymail.co.uk/sport/olympics/article-1349289/Tessa-Sanderson-warns-Olympic-Stadium-chiefs-Ill-legal-action-unless-let-vote-West-Ham-Spurs.html,Tessa Sanderson warns Olympic Stadium chiefs: I'll take legal action unless you let me vote for West Ham or Spurs,Negative,objective,objective: Tessa Sanderson warns Olympic Stadium chiefs: I'll take legal action unless you let me vote for West Ham or Spurs
50,22/01/2011,https://www.dailymail.co.uk/sport/article-1349472/Charles-Sale-2012-Olympic-Stadium-legacy-expert-left-years-ago.html,Charles Sale: 2012 Olympic Stadium legacy expert left two years ago,Neutral,objective,objective: Charles Sale: 2012 Olympic Stadium legacy expert left two years ago
39,5/2/2011,https://www.dailymail.co.uk/sport/olympics/article-1354071/Tottenhams-hopes-securing-Londons-Olympic-Stadium-2012-rise-research-exposes-legacy-myth.html,Tottenham's hopes of securing London's Olympic Stadium in 2012 rise as research exposes legacy myth,Negative,objective,objective: Tottenham's hopes of securing London's Olympic Stadium in 2012 rise as research exposes legacy myth
51,7/2/2011,https://www.dailymail.co.uk/sport/olympics/article-1354518/West-Ham-chief-Karren-Brady-blasts-Spurs-It-corporate-crime-knock-Olympic-stadium.html,West Ham chief Karren Brady blasts Spurs: It would be a 'corporate crime' to knock down Olympic stadium,Negative,objective,objective: West Ham chief Karren Brady blasts Spurs: It would be a 'corporate crime' to knock down Olympic stadium
66,7/2/2011,https://www.dailymail.co.uk/sport/football/article-1354645/Karren-Brady-scaremongering-Tottenham-chairman-Daniel-Levy-hits-Olympic-Stadium-crime-slur.html,"Karren Brady is scaremongering, Tottenham chairman Daniel Levy hits back over Olympic Stadium 'crime' slur",Negative,objective,"objective: Karren Brady is scaremongering, Tottenham chairman Daniel Levy hits back over Olympic Stadium 'crime' slur"
145,8/2/2011,https://www.dailymail.co.uk/sport/olympics/article-1354790/Spurs-win-Olympic-Stadium-bid-says-key-London-2012-figure-Mike-Lee.html,"Spurs must win Olympic Stadium bid, says key London 2012 figure Mike Lee",Positive,objective,"objective: Spurs must win Olympic Stadium bid, says key London 2012 figure Mike Lee"
130,9/2/2011,https://www.dailymail.co.uk/sport/football/article-1355232/David-Sullivan-slams-Spurs-Olympic-Stadium-battle.html,David Sullivan slams Spurs in Olympic Stadium battle,Neutral,objective,objective: David Sullivan slams Spurs in Olympic Stadium battle
6,12/2/2011,https://www.dailymail.co.uk/sport/football/article-1356435/Will-London-Olympic-2012-legacy-development-Starford-just-load-white-elephants.html,Will London have an Olympic 2012 legacy or is the development at Starford just another load of white elephants?,Neutral,objective,objective: Will London have an Olympic 2012 legacy or is the development at Starford just another load of white elephants?
233,12/2/2011,https://www.dailymail.co.uk/sport/football/article-1356406/Kenny-Dalglish-Can-Jack-Wilshere-make-mark-real-giants-football.html,Kenny Dalglish: Can Jack Wilshere make his mark against the real giants of football?,Neutral,objective,objective: Kenny Dalglish: Can Jack Wilshere make his mark against the real giants of football?
119,12/2/2011,https://www.dailymail.co.uk/sport/football/article-1356428/West-Ham-face-Olympic-Stadium-fight-moving-Orients-patch.html,West Ham to face Olympic Stadium fight over moving into Orient's patch,Negative,objective,objective: West Ham to face Olympic Stadium fight over moving into Orient's patch
41,5/7/2011,https://www.dailymail.co.uk/sport/olympics/article-2011499/London-2012-Olympics-OPLC-launch-internal-probe-West-Ham-link.html,London 2012 Olympics: OPLC launch internal probe after West Ham link,Neutral,objective,objective: London 2012 Olympics: OPLC launch internal probe after West Ham link
177,25/07/2011,https://www.dailymail.co.uk/debate/article-2018416/Cultural-Olympiad-2011-An-orgy-politically-correct-expensive-nonsense.html,Cultural Olympiad 2011: An orgy of politically correct and expensive nonsense,Negative,subjective,subjective: Cultural Olympiad 2011: An orgy of politically correct and expensive nonsense
9,3/10/2011,https://www.dailymail.co.uk/news/article-2044555/London-2012-Foreign-Office-hands-Olympic-Legacy-cash-Bolivia.html,London 2012: Foreign Office hands 'Olympic Legacy' cash to Bolivia,Neutral,objective,objective: London 2012: Foreign Office hands 'Olympic Legacy' cash to Bolivia
133,11/10/2011,https://www.dailymail.co.uk/sport/football/article-2048044/Taxpayers-0-West-Ham-1-Club-paying-20million.html,Taxpayers 0 West Ham 1: Club could still move without paying £20million,Neutral,subjective,subjective: Taxpayers 0 West Ham 1: Club could still move without paying £20million
92,11/10/2011,https://www.dailymail.co.uk/sport/football/article-2047725/Spurs-force-West-Ham-Olympic-Stadium-deal-collapse.html,Spurs force West Ham Olympic Stadium deal collapse,Negative,objective,objective: Spurs force West Ham Olympic Stadium deal collapse
79,11/10/2011,https://www.dailymail.co.uk/news/article-2047726/London-2012-Olympics-West-Ham-deal-stadium-collapses.html,London 2012 Olympics: West Ham deal to take over stadium collapses,Negative,objective,objective: London 2012 Olympics: West Ham deal to take over stadium collapses
63,19/10/2011,https://www.dailymail.co.uk/sport/othersports/article-2050977/London-2012-Olympics-Sebastian-Coe-rejects-Olympic-Stadium-white-elephant-tag.html,London 2012 Olympics: Sebastian Coe rejects Olympic Stadium 'white elephant' tag,Negative,objective,objective: London 2012 Olympics: Sebastian Coe rejects Olympic Stadium 'white elephant' tag
192,19/10/2011,https://www.dailymail.co.uk/sport/article-2050639/Martin-Samuel-Dan-Wheldon--safety-sport-killer.html,"Martin Samuel: Dan Wheldon - safety first, or sport becomes a killer",Negative,objective,"objective: Martin Samuel: Dan Wheldon - safety first, or sport becomes a killer"
46,21/10/2011,https://www.dailymail.co.uk/news/article-2051906/Ikea-unveils-plans-26-acre-London-district-near-Olympic-Park.html,Ikea unveils plans for 26-acre London district near Olympic Park,Positive,objective,objective: Ikea unveils plans for 26-acre London district near Olympic Park
54,6/11/2011,https://www.dailymail.co.uk/sport/othersports/article-2058189/London-win-2017-World-Championships-says-Ed-Warner.html,London can win 2017 World Championships says Ed Warner,Positive,objective,objective: London can win 2017 World Championships says Ed Warner
60,6/12/2011,https://www.dailymail.co.uk/debate/article-2070846/London-2012-Olympics-costs-unacceptable-teeter-edge-slump.html,London 2012 Olympics costs are unacceptable as we teeter on the edge of a slump,Negative,subjective,subjective: London 2012 Olympics costs are unacceptable as we teeter on the edge of a slump
271,12/12/2011,https://www.dailymail.co.uk/sport/article-2072910/Manchester-United-make-sure-UEFA-right-Martin-Samuel.html,Manchester United will make sure UEFA see them right: Martin Samuel,Neutral,objective,objective: Manchester United will make sure UEFA see them right: Martin Samuel
17,9/1/2012,https://www.dailymail.co.uk/sport/olympics/article-2084150/London-2012-Olympics-Legacy-secure-says-David-Cameron.html,"London 2012 Olympics: Legacy is secure, says David Cameron",Positive,objective,"objective: London 2012 Olympics: Legacy is secure, says David Cameron"
36,18/01/2012,https://www.dailymail.co.uk/sport/olympics/article-2088290/London-2012-Olympics-Fourth-man-arrested-stadium-spy-probe.html,London 2012 Olympics: Fourth man arrested in stadium spy probe,Negative,objective,objective: London 2012 Olympics: Fourth man arrested in stadium spy probe
78,9/3/2012,https://www.dailymail.co.uk/news/article-2112428/London-2012-Olympics-2bn-red-main-stadium-white-elephant.html,London 2012 Olympics may go £2bn into the red and main stadium could become a white elephant,Negative,objective,objective: London 2012 Olympics may go £2bn into the red and main stadium could become a white elephant
72,9/3/2012,https://www.dailymail.co.uk/money/news/article-2112505/amp/Olympics-budget-Games-2bn-red.html,Olympics budget: Games could go £2bn into the red,Negative,subjective,subjective: Olympics budget: Games could go £2bn into the red
47,9/3/2012,https://www.dailymail.co.uk/news/article-2112489/London-2012-Olympics-runs-2bn-budget-security-costs-double.html,London 2012 Olympics runs £2bn over budget as security costs double,Negative,objective,objective: London 2012 Olympics runs £2bn over budget as security costs double
21,21/03/2012,http://www.dailymail.co.uk/sport/othersports/article-2118130/Olympic-legacy-boost-London-host-2015-EuroHockey-Championships.html,Olympic legacy boost as London to host 2015 EuroHockey Championships,Positive,objective,objective: Olympic legacy boost as London to host 2015 EuroHockey Championships
135,27/03/2012,https://www.dailymail.co.uk/sport/olympics/article-2121242/LONDON-2012-We-need-China-crisis-warns-Pete-Waterfield.html,"LONDON 2012: We need a China crisis, warns Pete Waterfield",Negative,objective,"objective: LONDON 2012: We need a China crisis, warns Pete Waterfield"
138,10/4/2012,https://www.dailymail.co.uk/news/article-2127798/Olympic-torch-Ikea-lights-way-40m-high-tower-26-acre-suburb-near-Londons-2012-park.html,Olympic torch: Ikea lights the way with 40m high tower in 26-acre suburb near London's 2012 park,Positive,objective,objective: Olympic torch: Ikea lights the way with 40m high tower in 26-acre suburb near London's 2012 park
58,14/06/2012,https://www.dailymail.co.uk/sport/olympics/article-2159216/London-2012-Olympics-Tim-Brabants-leads-Team-GB-canoe-sprint-squad.html,London 2012 Olympics: Tim Brabants leads Team GB canoe sprint squad,Positive,objective,objective: London 2012 Olympics: Tim Brabants leads Team GB canoe sprint squad
193,9/7/2012,https://www.dailymail.co.uk/money/news/article-2170878/amp/Beet-It-beetroot-juice-shots-James-White-drinks-Olympic-boost.html,Beet-It beetroot juice shots give James White drinks an Olympic boost,Positive,subjective,subjective: Beet-It beetroot juice shots give James White drinks an Olympic boost
247,30/07/2012,https://www.dailymail.co.uk/sport/olympics/article-2180821/Team-GB-fans-need-make-songs--Laura-Williamson.html,Team GB fans need to make some songs - Laura Williamson,Neutral,objective,objective: Team GB fans need to make some songs - Laura Williamson
102,5/8/2012,https://www.dailymail.co.uk/debate/article-2183898/London-2012s-Olympic-flame-burns-bright-riot-smoke-hangs-Britain.html,London 2012's Olympic flame burns bright but it's riot smoke that still hangs over Britain,Negative,objective,objective: London 2012's Olympic flame burns bright but it's riot smoke that still hangs over Britain
19,10/8/2012,https://www.dailymail.co.uk/sport/olympics/article-2186708/London-2012-Olympics-Legacy-hands--Des-Kelly.html,London 2012 Olympics: Legacy is in our hands - Des Kelly,Neutral,objective,objective: London 2012 Olympics: Legacy is in our hands - Des Kelly
74,11/8/2012,https://www.dailymail.co.uk/news/article-2187032/Lord-Coe-Our-children-fit-warns-Olympic-champion.html,Lord Coe: Our children will be less fit than we are warns former Olympic champion,Negative,objective,objective: Lord Coe: Our children will be less fit than we are warns former Olympic champion
171,12/8/2012,https://www.dailymail.co.uk/debate/article-2187469/Mo-Farahs-joyful-embrace-Britishness-Games-mark-truly-historic-watershed.html,Mo Farah's joyful embrace of Britishness and why these Games mark a truly historic watershed,Positive,subjective,subjective: Mo Farah's joyful embrace of Britishness and why these Games mark a truly historic watershed
27,12/8/2012,https://www.dailymail.co.uk/news/article-2187373/London-2012-closing-ceremony-How-capital-took-Olympics-heart.html,London 2012 closing ceremony: How capital took Olympics to its heart,Positive,objective,objective: London 2012 closing ceremony: How capital took Olympics to its heart
70,12/8/2012,https://www.dailymail.co.uk/sport/olympics/article-2187408/London-2012-Olympics-The-best-pictures.html,London 2012 Olympics: The best pictures,Positive,objective,objective: London 2012 Olympics: The best pictures
71,12/8/2012,https://www.dailymail.co.uk/news/article-2187196/London-2012-Olympics-Sir-Mervyn-King-warns-Olympics-surge-wont-alter-economic-outlook.html,London 2012 Olympics: Sir Mervyn King warns Olympics surge won't alter the economic outlook,Negative,objective,objective: London 2012 Olympics: Sir Mervyn King warns Olympics surge won't alter the economic outlook
32,13/08/2012,https://www.dailymail.co.uk/debate/article-2187654/Here-immediate-Olympic-legacy-announce-today.html,Here is an immediate Olympic legacy to announce today,Positive,objective,objective: Here is an immediate Olympic legacy to announce today
61,13/08/2012,https://blaneyblog.dailymail.co.uk/2012/08/here-is-an-immediate-olympic-legacy-to-announce-today.html,Here is an immediate Olympic legacy to announce today,Positive,objective,objective: Here is an immediate Olympic legacy to announce today
16,13/08/2012,https://www.dailymail.co.uk/debate/article-2187727/Olympics-2012-What-away-London-Games-.html,Olympics 2012: What we can take away from the London Games...,Neutral,objective,objective: Olympics 2012: What we can take away from the London Games.
157,15/08/2012,https://www.dailymail.co.uk/news/article-2188554/School-playing-fields-danger-ministers-relax-rules-eve-Olympics.html,School playing fields 'in danger' as ministers relax rules on eve of the Olympics,Negative,objective,objective: School playing fields 'in danger' as ministers relax rules on eve of the Olympics
275,16/08/2012,https://www.dailymail.co.uk/news/article-2189001/Backlash-grows-plans-cut-school-playing-fields-introduced-days-Olympics.html,Backlash grows over plans to cut back on school playing fields introduced days before Olympics,Negative,objective,objective: Backlash grows over plans to cut back on school playing fields introduced days before Olympics
280,17/08/2012,https://www.dailymail.co.uk/debate/article-2190025/A-nation-62m-trolls-Don-t-twit-Jezza.html,"A nation of 62m trolls? Don¿t be a twit, Jezza",Neutral,"subjective,objective","subjective: Don¿t be a twit, Jezza,objective: A nation of 62m trolls?"
191,18/08/2012,https://www.dailymail.co.uk/sport/article-2190342/Football-needs-humanity-like-Olympics--Gary-Neville.html,Football needs to show its humanity like in the Olympics - Gary Neville,Neutral,objective,objective: Football needs to show its humanity like in the Olympics - Gary Neville
246,20/08/2012,https://www.dailymail.co.uk/news/article-2190765/Tory-councils-sell-playing-fields-Labour.html,Tory councils sell more playing fields than Labour,Negative,objective,objective: Tory councils sell more playing fields than Labour
23,21/08/2012,https://www.dailymail.co.uk/news/article-2191461/So-Olympic-legacy-School-gym-children-collapse-heat-exhaustion-air-fitted-Games-removed-athletes-leave.html,So much for the Olympic legacy! School gym where children collapse from heat exhaustion has air-con fitted for Games removed once athletes leave,Negative,objective,objective: So much for the Olympic legacy! School gym where children collapse from heat exhaustion has air-con fitted for Games removed once athletes leave
149,10/9/2012,https://www.dailymail.co.uk/sport/rugbyunion/article-2201306/Rugby-chiefs-want-use-Olympic-Stadium-2015-World-Cup.html,Rugby chiefs want to use Olympic Stadium in 2015 World Cup,Positive,objective,objective: Rugby chiefs want to use Olympic Stadium in 2015 World Cup
81,10/9/2012,https://www.dailymail.co.uk/news/article-2200946/London-pushed-Paralympics-new-height-What-world-2012-Games.html,London has pushed the Paralympics to a new height': What the world made of 2012 Games,Positive,objective,objective: London has pushed the Paralympics to a new height': What the world made of 2012 Games
206,16/09/2012,https://www.dailymail.co.uk/sport/othersports/article-2204011/Wilson-Kipsang-wins-Great-North-Run-Jo-Pavey-impresses.html,Wilson Kipsang wins Great North Run while Jo Pavey impresses,Positive,objective,objective: Wilson Kipsang wins Great North Run while Jo Pavey impresses
176,16/09/2012,https://www.dailymail.co.uk/femail/article-2204253/JANET-STREET-PORTER-Sport-Young-women-dont-want-chip-false-nails.html,JANET STREET-PORTER: Sport? Young women don't want to chip their false nails,Negative,objective,objective: JANET STREET-PORTER: Sport? Young women don't want to chip their false nails
99,13/10/2012,https://www.dailymail.co.uk/sport/football/article-2217399/EU-probe-football-aid-scupper-West-Hams-Olympic-Stadium-move.html,EU probe into football aid may scupper West Ham's Olympic Stadium move,Negative,objective,objective: EU probe into football aid may scupper West Ham's Olympic Stadium move
42,23/10/2012,https://www.dailymail.co.uk/sport/olympics/article-2221833/London-2012-Olympics-came-budget.html,London 2012 Olympics came under budget,Positive,objective,objective: London 2012 Olympics came under budget
223,29/10/2012,https://www.dailymail.co.uk/news/article-2224975/Michael-Gove-dismisses-150-000-signed-petition-new-school-field-rules.html,"Michael Gove dismisses 150,000 who signed petition against new school field rules",Negative,objective,"objective: Michael Gove dismisses 150,000 who signed petition against new school field rules"
48,26/12/2012,https://www.dailymail.co.uk/news/article-2253377/So-Olympic-legacy-Fury-muddy-state-park-used-equestrian-events-closed-public-months-on.html,So much for this Olympic legacy: Fury at muddy state of park used for equestrian events that is still closed to public six months on,Negative,objective,objective: So much for this Olympic legacy: Fury at muddy state of park used for equestrian events that is still closed to public six months on
185,29/12/2012,https://www.dailymail.co.uk/news/article-2254424/New-Year-honours-list-127-Olympians-led-Bradley-Wiggins.html,New Year honours list: 127 Olympians led by Bradley Wiggins,Positive,objective,objective: New Year honours list: 127 Olympians led by Bradley Wiggins
26,6/1/2013,https://www.dailymail.co.uk/sport/article-2258197/Laura-Williamson-Londons-legacy-So-far-smoke-glitter.html,Laura Williamson: London's legacy? So far its all smoke and glitter,Negative,"subjective,objective","subjective: So far its all smoke and glitter,objective: Laura Williamson: London's legacy?"
252,17/01/2013,https://www.dailymail.co.uk/news/article-2263779/Baroness-Susan-Campbell-Thousands-unable-jump-throw-ball-run-start-secondary-school.html,"Baroness Susan Campbell: Thousands unable to jump, throw a ball or run when they start secondary school",Negative,objective,"objective: Baroness Susan Campbell: Thousands unable to jump, throw a ball or run when they start secondary school"
35,7/2/2013,https://www.dailymail.co.uk/sport/othersports/article-2274849/Usain-Bolt-London-Grand-Prix-Olympic-Stadium.html,Usain Bolt London Grand Prix Olympic Stadium,Neutral,objective,objective: Usain Bolt London Grand Prix Olympic Stadium
125,27/02/2013,https://www.dailymail.co.uk/sport/othersports/article-2285441/Usain-Bolt-earn-200-000-Paris-Diamond-League.html,"Usain Bolt to earn £200,000 at Paris Diamond League",Positive,objective,"objective: Usain Bolt to earn £200,000 at Paris Diamond League"
73,11/3/2013,https://www.dailymail.co.uk/sport/othersports/article-2291364/Lord-Sebastian-Coe-says-shutting-Don-Valley-Stadium-blow-London-2012-legacy.html,Lord Sebastian Coe says shutting Don Valley Stadium is not a blow to London 2012 legacy,Negative,objective,objective: Lord Sebastian Coe says shutting Don Valley Stadium is not a blow to London 2012 legacy
147,12/3/2013,https://www.dailymail.co.uk/sport/othersports/article-2292214/Don-Valley-Stadium-redevelopment-plans-announced.html,Don Valley Stadium redevelopment plans announced,Positive,objective,objective: Don Valley Stadium redevelopment plans announced
20,17/03/2013,https://www.dailymail.co.uk/sport/article-2294954/Laura-Williamson-column--David-Cameron-150m-grant-primary-school-sport-late-capitalise-London-2012-Olympic-legacy.html,Laura Williamson column - David Cameron £150m grant for primary school sport too late to capitalise on London 2012 Olympic legacy,Negative,objective,objective: Laura Williamson column - David Cameron £150m grant for primary school sport too late to capitalise on London 2012 Olympic legacy
111,22/03/2013,https://www.dailymail.co.uk/sport/football/article-2297419/West-Ham-unveil-Olympic-Stadium-plans-signing-tenancy-deal.html,West Ham unveil Olympic Stadium plans after signing tenancy deal,Positive,objective,objective: West Ham unveil Olympic Stadium plans after signing tenancy deal
219,22/03/2013,https://www.dailymail.co.uk/sport/football/article-2297795/West-Ham-Olympic-Stadium-wheres-share-Des-Kelly.html,West Ham Olympic Stadium where's my share? Des Kelly,Neutral,objective,objective: West Ham Olympic Stadium where's my share? Des Kelly
167,24/03/2013,https://www.dailymail.co.uk/sport/article-2298566/Martin-Samuel-West-Ham-moving-Olympic-Stadium-ONLY-option-aside-bulldozer.html,Martin Samuel: West Ham moving to the Olympic Stadium is the ONLY option aside from a bulldozer,Neutral,objective,objective: Martin Samuel: West Ham moving to the Olympic Stadium is the ONLY option aside from a bulldozer
105,27/03/2013,https://www.dailymail.co.uk/sport/article-2299657/Olympic-legacy-Dont-whinge-just-enjoy-golden-memories--MARTIN-SAMUEL.html,"Olympic legacy? Don't whinge, just enjoy those golden memories - MARTIN SAMUEL",Positive,"subjective,objective","subjective: Don't whinge, just enjoy those golden memories - MARTIN SAMUEL,objective: Olympic legacy?"
150,28/03/2013,https://www.dailymail.co.uk/sport/football/article-2299930/MARTIN-SAMUEL--THE-DEBATE-West-Ham-saved-Olympic-Stadium-idiots-built-wonder-Karren-Brady-smiling.html,"MARTIN SAMUEL - THE DEBATE: West Ham saved the Olympic Stadium from the idiots who built it, no wonder Karren Brady is smiling",Negative,subjective,"subjective: MARTIN SAMUEL - THE DEBATE: West Ham saved the Olympic Stadium from the idiots who built it, no wonder Karren Brady is smiling"
198,7/5/2013,https://www.dailymail.co.uk/news/article-2320502/Classical-musicians-UK-tax-breaks-similar-given-foreign-sports-stars.html,Classical musicians call for UK tax breaks similar to those given to foreign sports stars,Neutral,subjective,subjective: Classical musicians call for UK tax breaks similar to those given to foreign sports stars
10,20/06/2013,https://www.dailymail.co.uk/sport/othersports/article-2344904/MARTIN-SAMUEL--THE-DEBATE-Olympic-legacy-The-partys-over.html,MARTIN SAMUEL - THE DEBATE: Olympic legacy? The party's over,Negative,"subjective,objective","subjective: MARTIN SAMUEL - THE DEBATE: Olympic legacy?,objective: The party's over"
13,4/7/2013,https://www.dailymail.co.uk/sport/othersports/article-2356320/JOANNA-ROWSELL-Its-great-Olympic-legacy-going-events-London-Youth-Games.html,JOANNA ROWSELL: It's great to keep the Olympic legacy going at events such as the London Youth Games,Positive,objective,objective: JOANNA ROWSELL: It's great to keep the Olympic legacy going at events such as the London Youth Games
49,18/07/2013,https://www.dailymail.co.uk/news/article-2367691/50-playing-fields-sold-years-Sell-threat-Olympic-legacy.html,50 playing fields sold in three years: Sell-off is a 'threat to our Olympic legacy',Negative,objective,objective: 50 playing fields sold in three years: Sell-off is a 'threat to our Olympic legacy'
8,19/07/2013,https://www.dailymail.co.uk/news/article-2370109/Our-Olympic-legacy--new-shopping-centre-Croydon-South-London-town-benefit-Games-boost-UK-economy-10million.html,Our Olympic legacy... a new shopping centre for Croydon: South London town to benefit as Games 'boost UK economy by £10million',Positive,objective,objective: Our Olympic legacy. a new shopping centre for Croydon: South London town to benefit as Games 'boost UK economy by £10million'
166,20/07/2013,https://www.dailymail.co.uk/sport/othersports/article-2371717/Sebastian-Coe-Drug-cheats-driving-bulldozer-history.html,Sebastian Coe: Drug cheats are driving bulldozer through our history,Negative,objective,objective: Sebastian Coe: Drug cheats are driving bulldozer through our history
