	Rank	Link	Title	Sentiment_Title	Labels	subjectivity_label	subjectivity_text	Is_Money	Name
24	51	https://www.dailymail.co.uk/sport/olympics/article-1354518/West-Ham-chief-Karren-Brady-blasts-Spurs-It-corporate-crime-knock-Olympic-stadium.html	West Ham chief Karren Brady blasts Spurs: It would be a 'corporate crime' to knock down Olympic stadium	Neg	Neg	objective	objective: West Ham chief Karren Brady blasts Spurs: It would be a 'corporate crime' to knock down Olympic stadium	O	Daily_Mail
25	66	https://www.dailymail.co.uk/sport/football/article-1354645/Karren-Brady-scaremongering-Tottenham-chairman-Daniel-Levy-hits-Olympic-Stadium-crime-slur.html	Karren Brady is scaremongering, Tottenham chairman Daniel Levy hits back over Olympic Stadium 'crime' slur	Neutral	Neg	objective	objective: Karren Brady is scaremongering, Tottenham chairman Daniel Levy hits back over Olympic Stadium 'crime' slur	O	Daily_Mail
26	145	https://www.dailymail.co.uk/sport/olympics/article-1354790/Spurs-win-Olympic-Stadium-bid-says-key-London-2012-figure-Mike-Lee.html	Spurs must win Olympic Stadium bid, says key London 2012 figure Mike Lee	other	Pos	objective	objective: Spurs must win Olympic Stadium bid, says key London 2012 figure Mike Lee	O	Daily_Mail
27	130	https://www.dailymail.co.uk/sport/football/article-1355232/David-Sullivan-slams-Spurs-Olympic-Stadium-battle.html	David Sullivan slams Spurs in Olympic Stadium battle	other	Neu	objective	objective: David Sullivan slams Spurs in Olympic Stadium battle	O	Daily_Mail
28	6	https://www.dailymail.co.uk/sport/football/article-1356435/Will-London-Olympic-2012-legacy-development-Starford-just-load-white-elephants.html	Will London have an Olympic 2012 legacy or is the development at Starford just another load of white elephants?	Neutral	Neu	objective	objective: Will London have an Olympic 2012 legacy or is the development at Starford just another load of white elephants?	O	Daily_Mail
29	233	https://www.dailymail.co.uk/sport/football/article-1356406/Kenny-Dalglish-Can-Jack-Wilshere-make-mark-real-giants-football.html	Kenny Dalglish: Can Jack Wilshere make his mark against the real giants of football?	other	Neu	objective	objective: Kenny Dalglish: Can Jack Wilshere make his mark against the real giants of football?	O	Daily_Mail
30	119	https://www.dailymail.co.uk/sport/football/article-1356428/West-Ham-face-Olympic-Stadium-fight-moving-Orients-patch.html	West Ham to face Olympic Stadium fight over moving into Orient's patch	Neg	Neg	objective	objective: West Ham to face Olympic Stadium fight over moving into Orient's patch	O	Daily_Mail
31	41	https://www.dailymail.co.uk/sport/olympics/article-2011499/London-2012-Olympics-OPLC-launch-internal-probe-West-Ham-link.html	London 2012 Olympics: OPLC launch internal probe after West Ham link	Neutral	Neu	objective	objective: London 2012 Olympics: OPLC launch internal probe after West Ham link	O	Daily_Mail
32	177	https://www.dailymail.co.uk/debate/article-2018416/Cultural-Olympiad-2011-An-orgy-politically-correct-expensive-nonsense.html	Cultural Olympiad 2011: An orgy of politically correct and expensive nonsense	Neg	Neg	subjective	subjective: Cultural Olympiad 2011: An orgy of politically correct and expensive nonsense	O	Daily_Mail
33	9	https://www.dailymail.co.uk/news/article-2044555/London-2012-Foreign-Office-hands-Olympic-Legacy-cash-Bolivia.html	London 2012: Foreign Office hands 'Olympic Legacy' cash to Bolivia	Pos	Neu	objective	objective: London 2012: Foreign Office hands 'Olympic Legacy' cash to Bolivia	O	Daily_Mail
34	133	https://www.dailymail.co.uk/sport/football/article-2048044/Taxpayers-0-West-Ham-1-Club-paying-20million.html	Taxpayers 0 West Ham 1: Club could still move without paying £20million	Neg	Neu	subjective	subjective: Taxpayers 0 West Ham 1: Club could still move without paying £20million	Money	Daily_Mail
35	92	https://www.dailymail.co.uk/sport/football/article-2047725/Spurs-force-West-Ham-Olympic-Stadium-deal-collapse.html	Spurs force West Ham Olympic Stadium deal collapse	Neg	Neg	objective	objective: Spurs force West Ham Olympic Stadium deal collapse	O	Daily_Mail
36	79	https://www.dailymail.co.uk/news/article-2047726/London-2012-Olympics-West-Ham-deal-stadium-collapses.html	London 2012 Olympics: West Ham deal to take over stadium collapses	Neg	Neg	objective	objective: London 2012 Olympics: West Ham deal to take over stadium collapses	O	Daily_Mail
37	63	https://www.dailymail.co.uk/sport/othersports/article-2050977/London-2012-Olympics-Sebastian-Coe-rejects-Olympic-Stadium-white-elephant-tag.html	London 2012 Olympics: Sebastian Coe rejects Olympic Stadium 'white elephant' tag	Neg	Neg	objective	objective: London 2012 Olympics: Sebastian Coe rejects Olympic Stadium 'white elephant' tag	O	Daily_Mail
38	192	https://www.dailymail.co.uk/sport/article-2050639/Martin-Samuel-Dan-Wheldon--safety-sport-killer.html	Martin Samuel: Dan Wheldon - safety first, or sport becomes a killer	Pos	Neg	objective	objective: Martin Samuel: Dan Wheldon - safety first, or sport becomes a killer	O	Daily_Mail
39	46	https://www.dailymail.co.uk/news/article-2051906/Ikea-unveils-plans-26-acre-London-district-near-Olympic-Park.html	Ikea unveils plans for 26-acre London district near Olympic Park	Pos	Pos	objective	objective: Ikea unveils plans for 26-acre London district near Olympic Park	O	Daily_Mail
40	54	https://www.dailymail.co.uk/sport/othersports/article-2058189/London-win-2017-World-Championships-says-Ed-Warner.html	London can win 2017 World Championships says Ed Warner	Pos	Pos	objective	objective: London can win 2017 World Championships says Ed Warner	O	Daily_Mail
41	60	https://www.dailymail.co.uk/debate/article-2070846/London-2012-Olympics-costs-unacceptable-teeter-edge-slump.html	London 2012 Olympics costs are unacceptable as we teeter on the edge of a slump	Neg	Neg	subjective	subjective: London 2012 Olympics costs are unacceptable as we teeter on the edge of a slump	O	Daily_Mail
42	271	https://www.dailymail.co.uk/sport/article-2072910/Manchester-United-make-sure-UEFA-right-Martin-Samuel.html	Manchester United will make sure UEFA see them right: Martin Samuel	Pos	Neu	objective	objective: Manchester United will make sure UEFA see them right: Martin Samuel	O	Daily_Mail
43	17	https://www.dailymail.co.uk/sport/olympics/article-2084150/London-2012-Olympics-Legacy-secure-says-David-Cameron.html	London 2012 Olympics: Legacy is secure, says David Cameron	Pos	Pos	objective	objective: London 2012 Olympics: Legacy is secure, says David Cameron	O	Daily_Mail
44	36	https://www.dailymail.co.uk/sport/olympics/article-2088290/London-2012-Olympics-Fourth-man-arrested-stadium-spy-probe.html	London 2012 Olympics: Fourth man arrested in stadium spy probe	Neg	Neg	objective	objective: London 2012 Olympics: Fourth man arrested in stadium spy probe	O	Daily_Mail
45	78	https://www.dailymail.co.uk/news/article-2112428/London-2012-Olympics-2bn-red-main-stadium-white-elephant.html	London 2012 Olympics may go £2bn into the red and main stadium could become a white elephant	Neg	Neg	objective	objective: London 2012 Olympics may go £2bn into the red and main stadium could become a white elephant	Money	Daily_Mail
46	72	https://www.dailymail.co.uk/money/news/article-2112505/amp/Olympics-budget-Games-2bn-red.html	Olympics budget: Games could go £2bn into the red	other	Neg	subjective	subjective: Olympics budget: Games could go £2bn into the red	Money	Daily_Mail
47	47	https://www.dailymail.co.uk/news/article-2112489/London-2012-Olympics-runs-2bn-budget-security-costs-double.html	London 2012 Olympics runs £2bn over budget as security costs double	Neg	Neg	objective	objective: London 2012 Olympics runs £2bn over budget as security costs double	Money	Daily_Mail
48	21	http://www.dailymail.co.uk/sport/othersports/article-2118130/Olympic-legacy-boost-London-host-2015-EuroHockey-Championships.html	Olympic legacy boost as London to host 2015 EuroHockey Championships	Pos	Pos	objective	objective: Olympic legacy boost as London to host 2015 EuroHockey Championships	O	Daily_Mail
49	135	https://www.dailymail.co.uk/sport/olympics/article-2121242/LONDON-2012-We-need-China-crisis-warns-Pete-Waterfield.html	LONDON 2012: We need a China crisis, warns Pete Waterfield	Neg	Neg	objective	objective: LONDON 2012: We need a China crisis, warns Pete Waterfield	O	Daily_Mail
50	138	https://www.dailymail.co.uk/news/article-2127798/Olympic-torch-Ikea-lights-way-40m-high-tower-26-acre-suburb-near-Londons-2012-park.html	Olympic torch: Ikea lights the way with 40m high tower in 26-acre suburb near London's 2012 park	Pos	Pos	objective	objective: Olympic torch: Ikea lights the way with 40m high tower in 26-acre suburb near London's 2012 park	O	Daily_Mail
51	58	https://www.dailymail.co.uk/sport/olympics/article-2159216/London-2012-Olympics-Tim-Brabants-leads-Team-GB-canoe-sprint-squad.html	London 2012 Olympics: Tim Brabants leads Team GB canoe sprint squad	Pos	Pos	objective	objective: London 2012 Olympics: Tim Brabants leads Team GB canoe sprint squad	O	Daily_Mail
52	193	https://www.dailymail.co.uk/money/news/article-2170878/amp/Beet-It-beetroot-juice-shots-James-White-drinks-Olympic-boost.html	Beet-It beetroot juice shots give James White drinks an Olympic boost	Pos	Pos	subjective	subjective: Beet-It beetroot juice shots give James White drinks an Olympic boost	O	Daily_Mail
53	247	https://www.dailymail.co.uk/sport/olympics/article-2180821/Team-GB-fans-need-make-songs--Laura-Williamson.html	Team GB fans need to make some songs - Laura Williamson	Neutral	Neu	objective	objective: Team GB fans need to make some songs - Laura Williamson	O	Daily_Mail
54	102	https://www.dailymail.co.uk/debate/article-2183898/London-2012s-Olympic-flame-burns-bright-riot-smoke-hangs-Britain.html	London 2012's Olympic flame burns bright but it's riot smoke that still hangs over Britain	Neg	Neg	objective	objective: London 2012's Olympic flame burns bright but it's riot smoke that still hangs over Britain	O	Daily_Mail
55	19	https://www.dailymail.co.uk/sport/olympics/article-2186708/London-2012-Olympics-Legacy-hands--Des-Kelly.html	London 2012 Olympics: Legacy is in our hands - Des Kelly	Pos	Neu	objective	objective: London 2012 Olympics: Legacy is in our hands - Des Kelly	O	Daily_Mail
56	74	https://www.dailymail.co.uk/news/article-2187032/Lord-Coe-Our-children-fit-warns-Olympic-champion.html	Lord Coe: Our children will be less fit than we are warns former Olympic champion	Neg	Neg	objective	objective: Lord Coe: Our children will be less fit than we are warns former Olympic champion	O	Daily_Mail
57	171	https://www.dailymail.co.uk/debate/article-2187469/Mo-Farahs-joyful-embrace-Britishness-Games-mark-truly-historic-watershed.html	Mo Farah's joyful embrace of Britishness and why these Games mark a truly historic watershed	Pos	Pos	subjective	subjective: Mo Farah's joyful embrace of Britishness and why these Games mark a truly historic watershed	O	Daily_Mail
58	27	https://www.dailymail.co.uk/news/article-2187373/London-2012-closing-ceremony-How-capital-took-Olympics-heart.html	London 2012 closing ceremony: How capital took Olympics to its heart	Pos	Pos	objective	objective: London 2012 closing ceremony: How capital took Olympics to its heart	O	Daily_Mail
59	70	https://www.dailymail.co.uk/sport/olympics/article-2187408/London-2012-Olympics-The-best-pictures.html	London 2012 Olympics: The best pictures	Pos	Pos	objective	objective: London 2012 Olympics: The best pictures	O	Daily_Mail
60	71	https://www.dailymail.co.uk/news/article-2187196/London-2012-Olympics-Sir-Mervyn-King-warns-Olympics-surge-wont-alter-economic-outlook.html	London 2012 Olympics: Sir Mervyn King warns Olympics surge won't alter the economic outlook	other	Neg	objective	objective: London 2012 Olympics: Sir Mervyn King warns Olympics surge won't alter the economic outlook	O	Daily_Mail
61	32	https://www.dailymail.co.uk/debate/article-2187654/Here-immediate-Olympic-legacy-announce-today.html	Here is an immediate Olympic legacy to announce today	Pos	Pos	objective	objective: Here is an immediate Olympic legacy to announce today	O	Daily_Mail
62	61	https://blaneyblog.dailymail.co.uk/2012/08/here-is-an-immediate-olympic-legacy-to-announce-today.html	Here is an immediate Olympic legacy to announce today	Pos	Pos	objective	objective: Here is an immediate Olympic legacy to announce today	O	Daily_Mail
63	16	https://www.dailymail.co.uk/debate/article-2187727/Olympics-2012-What-away-London-Games-.html	Olympics 2012: What we can take away from the London Games...	other	Neu	objective	objective: Olympics 2012: What we can take away from the London Games.	O	Daily_Mail
64	157	https://www.dailymail.co.uk/news/article-2188554/School-playing-fields-danger-ministers-relax-rules-eve-Olympics.html	School playing fields 'in danger' as ministers relax rules on eve of the Olympics	Pos	Neg	objective	objective: School playing fields 'in danger' as ministers relax rules on eve of the Olympics	O	Daily_Mail
65	275	https://www.dailymail.co.uk/news/article-2189001/Backlash-grows-plans-cut-school-playing-fields-introduced-days-Olympics.html	Backlash grows over plans to cut back on school playing fields introduced days before Olympics	Neg	Neg	objective	objective: Backlash grows over plans to cut back on school playing fields introduced days before Olympics	O	Daily_Mail
66	280	https://www.dailymail.co.uk/debate/article-2190025/A-nation-62m-trolls-Don-t-twit-Jezza.html	A nation of 62m trolls? Don¿t be a twit, Jezza	other	Neu	subjective,objective	subjective: Don¿t be a twit, Jezza,objective: A nation of 62m trolls?	O	Daily_Mail
67	191	https://www.dailymail.co.uk/sport/article-2190342/Football-needs-humanity-like-Olympics--Gary-Neville.html	Football needs to show its humanity like in the Olympics - Gary Neville	Pos	Neu	objective	objective: Football needs to show its humanity like in the Olympics - Gary Neville	O	Daily_Mail
68	246	https://www.dailymail.co.uk/news/article-2190765/Tory-councils-sell-playing-fields-Labour.html	Tory councils sell more playing fields than Labour	Neg	Neg	objective	objective: Tory councils sell more playing fields than Labour	O	Daily_Mail
69	23	https://www.dailymail.co.uk/news/article-2191461/So-Olympic-legacy-School-gym-children-collapse-heat-exhaustion-air-fitted-Games-removed-athletes-leave.html	So much for the Olympic legacy! School gym where children collapse from heat exhaustion has air-con fitted for Games removed once athletes leave	Neg	Neg	objective	objective: So much for the Olympic legacy! School gym where children collapse from heat exhaustion has air-con fitted for Games removed once athletes leave	O	Daily_Mail
70	149	https://www.dailymail.co.uk/sport/rugbyunion/article-2201306/Rugby-chiefs-want-use-Olympic-Stadium-2015-World-Cup.html	Rugby chiefs want to use Olympic Stadium in 2015 World Cup	other	Pos	objective	objective: Rugby chiefs want to use Olympic Stadium in 2015 World Cup	O	Daily_Mail
71	81	https://www.dailymail.co.uk/news/article-2200946/London-pushed-Paralympics-new-height-What-world-2012-Games.html	London has pushed the Paralympics to a new height': What the world made of 2012 Games	other	Pos	objective	objective: London has pushed the Paralympics to a new height': What the world made of 2012 Games	O	Daily_Mail
72	206	https://www.dailymail.co.uk/sport/othersports/article-2204011/Wilson-Kipsang-wins-Great-North-Run-Jo-Pavey-impresses.html	Wilson Kipsang wins Great North Run while Jo Pavey impresses	Pos	Pos	objective	objective: Wilson Kipsang wins Great North Run while Jo Pavey impresses	O	Daily_Mail
73	176	https://www.dailymail.co.uk/femail/article-2204253/JANET-STREET-PORTER-Sport-Young-women-dont-want-chip-false-nails.html	JANET STREET-PORTER: Sport? Young women don't want to chip their false nails	Neg	Neg	objective	objective: JANET STREET-PORTER: Sport? Young women don't want to chip their false nails	O	Daily_Mail
74	99	https://www.dailymail.co.uk/sport/football/article-2217399/EU-probe-football-aid-scupper-West-Hams-Olympic-Stadium-move.html	EU probe into football aid may scupper West Ham's Olympic Stadium move	other	Neg	objective	objective: EU probe into football aid may scupper West Ham's Olympic Stadium move	O	Daily_Mail
75	42	https://www.dailymail.co.uk/sport/olympics/article-2221833/London-2012-Olympics-came-budget.html	London 2012 Olympics came under budget	Pos	Pos	objective	objective: London 2012 Olympics came under budget	O	Daily_Mail
76	223	https://www.dailymail.co.uk/news/article-2224975/Michael-Gove-dismisses-150-000-signed-petition-new-school-field-rules.html	Michael Gove dismisses 150,000 who signed petition against new school field rules	Neutral	Neg	objective	objective: Michael Gove dismisses 150,000 who signed petition against new school field rules	O	Daily_Mail
77	48	https://www.dailymail.co.uk/news/article-2253377/So-Olympic-legacy-Fury-muddy-state-park-used-equestrian-events-closed-public-months-on.html	So much for this Olympic legacy: Fury at muddy state of park used for equestrian events that is still closed to public six months on	Neg	Neg	objective	objective: So much for this Olympic legacy: Fury at muddy state of park used for equestrian events that is still closed to public six months on	O	Daily_Mail
78	185	https://www.dailymail.co.uk/news/article-2254424/New-Year-honours-list-127-Olympians-led-Bradley-Wiggins.html	New Year honours list: 127 Olympians led by Bradley Wiggins	Pos	Pos	objective	objective: New Year honours list: 127 Olympians led by Bradley Wiggins	O	Daily_Mail
79	26	https://www.dailymail.co.uk/sport/article-2258197/Laura-Williamson-Londons-legacy-So-far-smoke-glitter.html	Laura Williamson: London's legacy? So far its all smoke and glitter	other	Neg	subjective,objective	subjective: So far its all smoke and glitter,objective: Laura Williamson: London's legacy?	O	Daily_Mail
80	252	https://www.dailymail.co.uk/news/article-2263779/Baroness-Susan-Campbell-Thousands-unable-jump-throw-ball-run-start-secondary-school.html	Baroness Susan Campbell: Thousands unable to jump, throw a ball or run when they start secondary school	Neg	Neg	objective	objective: Baroness Susan Campbell: Thousands unable to jump, throw a ball or run when they start secondary school	O	Daily_Mail
81	35	https://www.dailymail.co.uk/sport/othersports/article-2274849/Usain-Bolt-London-Grand-Prix-Olympic-Stadium.html	Usain Bolt London Grand Prix Olympic Stadium	Pos	Neu	objective	objective: Usain Bolt London Grand Prix Olympic Stadium	O	Daily_Mail
82	125	https://www.dailymail.co.uk/sport/othersports/article-2285441/Usain-Bolt-earn-200-000-Paris-Diamond-League.html	Usain Bolt to earn £200,000 at Paris Diamond League	Pos	Pos	objective	objective: Usain Bolt to earn £200,000 at Paris Diamond League	Money	Daily_Mail
83	73	https://www.dailymail.co.uk/sport/othersports/article-2291364/Lord-Sebastian-Coe-says-shutting-Don-Valley-Stadium-blow-London-2012-legacy.html	Lord Sebastian Coe says shutting Don Valley Stadium is not a blow to London 2012 legacy	other	Neg	objective	objective: Lord Sebastian Coe says shutting Don Valley Stadium is not a blow to London 2012 legacy	O	Daily_Mail
84	147	https://www.dailymail.co.uk/sport/othersports/article-2292214/Don-Valley-Stadium-redevelopment-plans-announced.html	Don Valley Stadium redevelopment plans announced	other	Pos	objective	objective: Don Valley Stadium redevelopment plans announced	O	Daily_Mail
85	20	https://www.dailymail.co.uk/sport/article-2294954/Laura-Williamson-column--David-Cameron-150m-grant-primary-school-sport-late-capitalise-London-2012-Olympic-legacy.html	Laura Williamson column - David Cameron £150m grant for primary school sport too late to capitalise on London 2012 Olympic legacy	other	Neg	objective	objective: Laura Williamson column - David Cameron £150m grant for primary school sport too late to capitalise on London 2012 Olympic legacy	Money	Daily_Mail
86	111	https://www.dailymail.co.uk/sport/football/article-2297419/West-Ham-unveil-Olympic-Stadium-plans-signing-tenancy-deal.html	West Ham unveil Olympic Stadium plans after signing tenancy deal	Neutral	Pos	objective	objective: West Ham unveil Olympic Stadium plans after signing tenancy deal	O	Daily_Mail
87	219	https://www.dailymail.co.uk/sport/football/article-2297795/West-Ham-Olympic-Stadium-wheres-share-Des-Kelly.html	West Ham Olympic Stadium where's my share? Des Kelly	Pos	Neu	objective	objective: West Ham Olympic Stadium where's my share? Des Kelly	O	Daily_Mail
88	167	https://www.dailymail.co.uk/sport/article-2298566/Martin-Samuel-West-Ham-moving-Olympic-Stadium-ONLY-option-aside-bulldozer.html	Martin Samuel: West Ham moving to the Olympic Stadium is the ONLY option aside from a bulldozer	Neg	Neu	objective	objective: Martin Samuel: West Ham moving to the Olympic Stadium is the ONLY option aside from a bulldozer	O	Daily_Mail
89	105	https://www.dailymail.co.uk/sport/article-2299657/Olympic-legacy-Dont-whinge-just-enjoy-golden-memories--MARTIN-SAMUEL.html	Olympic legacy? Don't whinge, just enjoy those golden memories - MARTIN SAMUEL	other	Pos	subjective,objective	subjective: Don't whinge, just enjoy those golden memories - MARTIN SAMUEL,objective: Olympic legacy?	O	Daily_Mail
90	150	https://www.dailymail.co.uk/sport/football/article-2299930/MARTIN-SAMUEL--THE-DEBATE-West-Ham-saved-Olympic-Stadium-idiots-built-wonder-Karren-Brady-smiling.html	MARTIN SAMUEL - THE DEBATE: West Ham saved the Olympic Stadium from the idiots who built it, no wonder Karren Brady is smiling	Pos	Neg	subjective	subjective: MARTIN SAMUEL - THE DEBATE: West Ham saved the Olympic Stadium from the idiots who built it, no wonder Karren Brady is smiling	O	Daily_Mail
91	198	https://www.dailymail.co.uk/news/article-2320502/Classical-musicians-UK-tax-breaks-similar-given-foreign-sports-stars.html	Classical musicians call for UK tax breaks similar to those given to foreign sports stars	Neg	Neu	subjective	subjective: Classical musicians call for UK tax breaks similar to those given to foreign sports stars	O	Daily_Mail
